2219Temp+Humid,Time,Celsius(°C),Humidity(%rh),Dew Point(°C),Comments,Serial Number
1,09/24/20 15:30,23.5,45.5,11.1,,10021213
2,09/24/20 15:40,23,45.5,10.6,,
3,09/24/20 15:50,23,46,10.8,,
4,09/24/20 16:00,23,46,10.8,,
5,09/24/20 16:10,23,46.5,10.9,,
6,09/24/20 16:20,23,46.5,10.9,,
7,09/24/20 16:30,23,46.5,10.9,,
8,09/24/20 16:40,22.5,46.5,10.5,,
9,09/24/20 16:50,22.5,46.5,10.5,,
10,09/24/20 17:00,22.5,46.5,10.5,,
11,09/24/20 17:10,22.5,47,10.6,,
12,09/24/20 17:20,22.5,47,10.6,,
13,09/24/20 17:30,22.5,47,10.6,,
14,09/24/20 17:40,22.5,47,10.6,,
15,09/24/20 17:50,22.5,47,10.6,,
16,09/24/20 18:00,22.5,47,10.6,,
17,09/24/20 18:10,22.5,47,10.6,,
18,09/24/20 18:20,22.5,47.5,10.8,,
19,09/24/20 18:30,22.5,47.5,10.8,,
20,09/24/20 18:40,22.5,47.5,10.8,,
21,09/24/20 18:50,22.5,47.5,10.8,,
22,09/24/20 19:00,22.5,47.5,10.8,,
23,09/24/20 19:10,22.5,47.5,10.8,,
24,09/24/20 19:20,22.5,48,10.9,,
25,09/24/20 19:30,22.5,48,10.9,,
26,09/24/20 19:40,22.5,48,10.9,,
27,09/24/20 19:50,22.5,48,10.9,,
28,09/24/20 20:00,22.5,48,10.9,,
29,09/24/20 20:10,22.5,48,10.9,,
30,09/24/20 20:20,22.5,48,10.9,,
31,09/24/20 20:30,22.5,48,10.9,,
32,09/24/20 20:40,22.5,48,10.9,,
33,09/24/20 20:50,22.5,48,10.9,,
34,09/24/20 21:00,22.5,48,10.9,,
35,09/24/20 21:10,22.5,48,10.9,,
36,09/24/20 21:20,22.5,48,10.9,,
37,09/24/20 21:30,22.5,48,10.9,,
38,09/24/20 21:40,22.5,48,10.9,,
39,09/24/20 21:50,22.5,48.5,11.1,,
40,09/24/20 22:00,22.5,48.5,11.1,,
41,09/24/20 22:10,22.5,48.5,11.1,,
42,09/24/20 22:20,22.5,48.5,11.1,,
43,09/24/20 22:30,22.5,49,11.3,,
44,09/24/20 22:40,22.5,49,11.3,,
45,09/24/20 22:50,22.5,49,11.3,,
46,09/24/20 23:00,22.5,49,11.3,,
47,09/24/20 23:10,23,48.5,11.6,,
48,09/24/20 23:20,23.5,47.5,11.7,,
49,09/24/20 23:30,24,46.5,11.8,,
50,09/24/20 23:40,24,46.5,11.8,,
51,09/24/20 23:50,24,46,11.7,,
52,09/25/20 0:00,24.5,46,12.1,,
53,09/25/20 0:10,23.5,46.5,11.4,,
54,09/25/20 0:20,23.5,47.5,11.7,,
55,09/25/20 0:30,23,48,11.4,,
