,ID,datetime,Annealing H2 (sccm),Growth H2 (sccm),Growth CH4 (sccm),Growth He (sccm),Cooling H2 (sccm),Cooling CH4 (sccm),Cooling He (sccm),Growth Time (min),Dew Point (C),Temperature (C),Relative Humidity (pct),Res: Graphene Presence,CP: Total Flow Rate (sccm),CP: CH4/Total,CP: CH4/H2,CP: Dil CH4,CP: Set No,Res: pct. Coverage
0,20191211_1,12/11/19 0:00,100,100,1,100,0,0,100,15,,,,No,201,0.004975124,0.01,FALSE,1,0
1,20191211_2,12/11/19 0:00,500,500,5,500,0,0,500,15,,,,Yes,1005,0.004975124,0.01,FALSE,1,0.534390004
2,20191211_3,12/11/19 0:00,500,500,5,500,0,0,500,5,,,,No,1005,0.004975124,0.01,FALSE,1,0
3,20191216_2,12/16/19 0:00,500,500,5,500,0,0,500,5,,,,No,1005,0.004975124,0.01,FALSE,1,0
4,20191216_3,12/16/19 0:00,100,100,1,100,0,0,100,15,,,,Maybe,201,0.004975124,0.01,FALSE,1,0
5,20191216_4,12/16/19 0:00,100,100,1,100,0,0,100,15,,,,Maybe,201,0.004975124,0.01,FALSE,1,0
6,20191216_5,12/16/19 0:00,100,100,1,100,0,0,100,15,,,,No,201,0.004975124,0.01,FALSE,1,0
7,20191217_1,12/17/19 0:00,500,500,5,500,0,0,500,15,,,,Yes,1005,0.004975124,0.01,FALSE,1,0.779056295
8,20191218_1,12/18/19 0:00,500,500,5,500,0,0,500,5,,,,Yes,1005,0.004975124,0.01,FALSE,1,0.111459605
9,20191218_2,12/18/19 0:00,100,100,1,100,0,0,100,5,,,,Yes,201,0.004975124,0.01,FALSE,1,0.582636515
10,20191218_3,12/18/19 0:00,500,500,5,500,0,0,500,15,,,,Yes,1005,0.004975124,0.01,FALSE,1,0.097138596
11,20200131_1,01/31/20 0:00,100,100,1,100,0,0,100,5,1.9,23.2,24.68152553,Maybe,201,0.004975124,0.01,FALSE,1,0
12,20200201_1,02/01/20 0:00,100,100,1,100,0,0,100,5,1.74,23,24.69792236,No,201,0.004975124,0.01,FALSE,1,0
13,20200202_1,02/02/20 0:00,500,500,5,500,0,0,500,5,5.3,23.1,31.54865168,Yes,1005,0.004975124,0.01,FALSE,1,0.627439626
14,20200207_1,02/07/20 0:00,100,100,1,100,0,0,100,5,-1.86,23.2,18.79164591,No,201,0.004975124,0.01,FALSE,1,0
15,20200207_2,02/07/20 0:00,500,500,5,500,0,0,500,15,-1.86,23.2,18.79164591,Yes,1005,0.004975124,0.01,FALSE,1,0.095754242
16,20200307_1,03/07/20 14:35,100,100,1,100,0,0,100,7,-1.72,22.5,19.80886439,No,201,0.004975124,0.01,FALSE,2,0
17,20200308_1,03/08/20 1:00,140,140,1.4,140,0,0,140,7,-1.04,22.8,20.4463187,No,281.4,0.004975124,0.01,FALSE,2,0
18,20200308_2,03/08/20 19:26,140,140,1.4,140,0,0,140,5,0.44,23.3,22.09050066,Yes,281.4,0.004975124,0.01,FALSE,2,0.049634043
19,20200309_1,03/09/20 1:50,140,140,1.4,140,0,0,140,5,0.98,23.3,22.96749944,Yes,281.4,0.004975124,0.01,FALSE,2,0.010908
20,20200309_2,03/09/20 4:10,100,100,1,100,0,0,100,7,1.42,23.7,23.13988312,No,201,0.004975124,0.01,FALSE,2,0
21,20200310_1,03/10/20 16:45,100,100,1,100,0,0,100,7,5.44,23.2,31.6647451,No,201,0.004975124,0.01,FALSE,2,0
22,20200310_2,03/10/20 20:02,100,100,1,100,0,0,100,7,5.04,23.1,30.98345056,No,201,0.004975124,0.01,FALSE,2,0
23,20200311_1,03/11/20 1:07,140,140,1.4,140,0,0,140,7,5.32,23.2,31.40209136,Yes,281.4,0.004975124,0.01,FALSE,2,0.036606216
24,20200311_2,03/11/20 14:58,140,140,1.4,140,0,0,140,5,5.56,23.1,32.12294851,Maybe,281.4,0.004975124,0.01,FALSE,2,0
