2^2 Full Factorial Randomized Experiment Design Table,,,,,,,,,,,
Run Number,Variables,,Sample Name,SEM Imaging,,,Raman Spectroscopy,,Response,,
,Growth Duration (min),Total Gas Flow Rate (sccm),,Graphene,Regions,,Folder Name,Link,Coverage,Avg. Crystal Size,Nucleation Density
1,15,200,20191211_1,No,,,,,,,
2,15,1000,20191211_2,Yes,"F1, F2",,,,,,
3,5,1000,20191211_3,No,,,,,,,
4,5,1000,20191216_2,No,,,,,,,
5,15,200,20191216_3,Maybe,"~[F1, F2, F3]",Raman/EDS,,,,,
6,15,200,20191216_4,Maybe,~[F1],Raman/EDS,,,,,
7,15,200,20191216_5,No,,,,,,,
8,15,1000,20191217_1,Yes,"F1, F2, F3, H1, H2, H3",,,,,,
9,5,1000,20191218_1,Yes,"F1, F2, F3, H1, H2, H3",,,,,,
10,5,200,20191218_2,Yes,"F1, F2, F3, H1, H2, H3",,,,,,
11,15,1000,20191218_3,Yes,"F1, F2, F3, H1, H2, H3",,,,,,
12,5,200,20200131_1,Maybe,"~[F3, H2]",Raman/EDS,,,,,
13,5,200,20200201_1,No,,,,,,,
14,5,1000,20200202_1,Yes,"F1, F2, F3, H1, H2, H3",,,,,,
15,5,200,20200207_1,No,,,,,,,
16,15,1000,20200207_2,Yes,"F1, F2, F3, H1, H2, H3",,,,,,
