Run Number,Total Gas Flow Rate (sccm),Growth Duration (min),Cooling Type,Gas Flow Rates (He:CH4:H2),Polishing Data,Name,Sample Name,Time of Experiment,SEM,Temperature,Dew Point,Relative Humidity,Graphene Presence,,,,,
1,500,5,NC,475 : 1K : 25,AS_20200921_1,AS,20200921_1,5:00 PM,AS,22.5,7.1,37.04083543,No,,,,Name,Count
2,500,5,GC,475 : 1K : 25,AS_20200921_1,AS,20200921_2,8:20 PM,AS,23,7.98,38.15806409,No,,,,AS,25
3,1000,5,GC,950 : 2K : 50,AS_20200922_1,AS,20200922_1,12:50 AM,AS,22.5,8.76,41.46776282,Yes,,,,JY,11
4,1000,5,GC,950 : 2K : 50,AS_20200922_1,AS,20200922_2,10:50 AM,AS,22.5,11.38,49.40754045,Yes,,,,MS,12
5,500,5,NC,475 : 1K : 25,AS_20200922_2,AS,20200922_3,2:25 PM,AS,23,11.24,47.48981506,No,,,,,
6,500,5,GC,475 : 1K : 25,AS_20200922_2,AS,20200922_4,8:30 PM,AS,23.3,10.82,45.35445075,No,,,,SEM,Count
7,500,7.5,NC,475 : 1K : 25,AS_20200923_1,AS,20200923_2,9:45 PM,MS,22.9,9.92,43.75754682,No,,,,AS,24
8,1000,10,NC,950 : 2K : 50,AS_20200923_1,AS,20200924_1,12:45 AM,MS,23,10.34,44.7315447,Yes,,,,JY,12
9,1000,7.5,GC,950 : 2K : 50,AS_20200924_1,AS,20200924_3,7:00 AM,MS,23,11.4,47.99556062,Yes,,,,MS,12
10,1000,10,GC,950 : 2K : 50,AS_20200924_2,AS,20200924_4,11:00 AM,JY,23.2,11.6,48.04970825,No,,,,,
11,500,7.5,NC,475 : 1K : 25,AS_20200924_2,MS,20200924_5,10:00 PM,JY,22.5,10.94,47.98722883,Yes,,,,Key:,
12,1000,10,NC,950 : 2K : 50,JY_20200925_1,JY,20200925_1,7:00 AM,JY,22,11.6,51.68055901,No,,,,500     5      NC,
13,500,7.5,GC,475 : 1K : 25,MS_20200924_3,AS,20200926_1,3:20 AM,JY,23,13.56,55.3028489,No,,,,500     7.5    NC,
14,500,5,GC,475 : 1K : 25,MS_20200926_1,MS,20200926_3,4:30 PM,JY,22.5,12.98,54.88959934,No,,,,500     10     NC,
15,500,5,NC,475 : 1K : 25,MS_20200926_1,AS,20200926_4,10:45 PM,JY,23,12.98,53.25043224,No,,,,1000    5      NC,
16,1000,7.5,NC,950 : 2K : 50,AS_20200927_1,AS,20200927_1,1:05 AM,JY,23.5,13.46,53.3093629,No,,,,1000    7.5    NC,
17,1000,5,NC,950 : 2K : 50,AS_20200927_1,AS,20200927_2,4:05 AM,JY,23.2,13.48,54.35425759,No,,,,1000    10     NC,
18,500,7.5,NC,475 : 1K : 25,AS_20200927_2,AS,20200927_3,6:50 PM,JY,22.5,12.34,52.63565625,No,,,,500     5      GC,
19,1000,7.5,NC,950 : 2K : 50,AS_20200927_2,AS,20200927_4,10:40 PM,JY,22.5,10.8,47.54292232,No,,,,500     7.5    GC,
20,1000,10,GC,950 : 2K : 50,AS_20200928_1,AS,20200928_1,1:25 AM,JY,23.1,11.46,47.89579112,No,,,,500     10     GC,
21,1000,5,NC,950 : 2K : 50,AS_20200928_1,AS,20200928_2,4:00 AM,JY,23.4,11.64,47.59848813,No,,,,1000    5      GC,
22,1000,5,GC,950 : 2K : 50,AS_20200928_2,AS,20200928_3,7:55 AM,AS,22.5,11.36,49.34218612,No,,,,1000    7.5    GC,
23,500,10,GC,475 : 1K : 25,JY_20200928-3,JY,20200928_4,5:00 PM,AS,22.5,9.5,43.58725955,No,,,,1000    10     GC,
24,500,10,NC,475 : 1K : 25,JY-20200929-1,JY,20200929_1,8:30 AM,AS,22.5,8.6,41.02163903,No,,,,,
25,1000,7.5,NC,950 : 2K : 50,MS-20200929-1,MS,20200929_2,2:00 PM,AS,22.6,7.62,38.14802139,No,,,,Acid changed after this,
26,500,10,GC,475 : 1K : 25,JY-20201001-1,JY,20201001_1,9:00 AM,MS,22.5,6.02,34.38990011,No,,,,,
27,500,10,NC,475 : 1K : 25,JY-20201002-1,JY,20201002_1,9:30 AM,MS,21,6.46,38.85110913,No,,,,,
