Run Number,Total Gas Flow Rate (sccm),Growth Duration (min),Cooling Type,Gas Flow Rates (He:CH4:H2),Polishing Data,Name,Sample Name,Time of Experiment,SEM,Temperature,Dew Point,Relative Humidity,Graphene Presence
1,500,7,GC,475 : 7K : 18,20210413_1,MS,20210413_1,10:50 PM,JY,21.5,1.94,27.44827915,Yes
2,500,7,GC,475 : 5K : 20,20210415_1,MS,20210415_1,3:50 PM,JY,21.5,1.44,26.48405967,Yes
3,500,10,GC,475 : 7K : 18,20210420_11,JY,20210420_1,10:45 AM,JY,21.2,1.06,26.24960752,Yes
4,500,10,GC,475 : 5K : 20,20210421_1,JY,20210421_1,10:00 AM,JY,21.5,1.02,25.69743092,Yes
5,500,10,GC,475 : 5K : 20,20210421_1,JY,20210421_2,1:00 PM,JY,22,-1.6,20.60191973,Yes
6,500,10,GC,475 : 7K : 18,20210421_1,MS,20210421_3,6:45 PM,MS,21.5,-0.14,23.63130594,Yes
7,500,10,GC,475 : 7K : 18,20210421_2,MS,20210421_4,9:45 PM,MS,22,1.16,25.17636923,Yes
8,500,10,GC,475 : 5K : 20,20210423_1,JY,20210423_1,9:00 AM,MS,21.5,0.7,25.11206276,Yes
9,500,7,GC,475 : 7K : 18,20210424_1,JY,20210424_1,10:00 AM,MS,21.2,6.36,38.113688,Yes
10,500,10,GC,475 : 7K : 18,20210508_2,AS,20210508_1,10:30 PM,AS,21.5,6.4,37.52261487,Yes
11,500,7,GC,475 : 5K : 20,20210509_1,AS,20210509_1,12:35 PM,AS,21.5,6.44,37.62607098,Yes
12,500,7,GC,475 : 7K : 18,20210509_1,AS,20210509_2,4:20 PM,AS,21.5,5.4,35.01656874,Yes
13,500,7,GC,475 : 5K : 20,20210510_1,AS,20210510_1,1:55 AM,AS,22,5.8,34.91755137,Yes
14,500,7,GC,475 : 5K : 20,20210510_1,AS,20210510_2,4:40 AM,AS,23,5.7,32.63282675,Yes
15,500,7,GC,475 : 7K : 18,20210510_2,AS,20210510_3,7:40 AM,AS,22,4.6,32.1230562,Yes
16,500,10,GC,475 : 5K : 20,20210510_2,AS,20210510_4,10:45 AM,AS,21.5,3.86,31.44618391,Yes
